Search Parameters,Year,populationratio,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
"[""Country = Indonesia""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,,1,14,,,,,,INDONESIA:  JAVA:  SUKABUMI,-6.84,106.96,,,7,,,,,,,,2,,,,3,,,,,,,,2,,,,3
,1900,,10,7,21,4,,1275,,INDONESIA:  NW. IRIAN JAYA,-4,140,33,6.9,,,,,,,,,,,,,,5,1,,,,,,1,1,1,,
,1903,,2,27,0,43,18,,,INDONESIA:  S OF JAVA,-8,106,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,
,1903,,3,30,,,,1294,,"INDONESIA:  TIFU, MASARETE, KAJELI",-3,127.5,33,6.5,,,,,,,,,,,,,,,,,,,,,,,,,
,1904,,9,7,,,,1318,,INDONESIA:  S. JAVA,-7.7,109,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1905,,1,22,2,43,54,,,INDONESIA:  MINAHASSA PENINSULA,1,123,90,8.4,,,,,,,,,,,,,,,,,,,,,,,,,
,1907,,1,4,5,19,13.2,1349,,"INDONESIA:  NW SUMATRA:  GUNUNGSITOLi, BARUS",2.681,95.53,50,8.2,,,,,,,,,3,,3,,3,2188,4,,,,,,3,,3,,
,1907,,3,29,20,46,30,1351,,INDONESIA:  TALAUD ISLANDS:  KARAKELONG ISLAND,3,122,500,7.3,,,,,,,,,,,,,,,,,,,,,,,,,
,1907,,6,25,17,54,36,,,INDONESIA:  DJAILOLO GILOLO,1,127,200,7.9,,,,,,,,,,,,,,,,,,,,,,,,,
,1907,,7,30,,,,,,"INDONESIA:  SULAWESI:  LEMO, COLO, ANJA, OLU CONGKO",-2,121,,,8,,,,,,,,2,213,3,,,,,,,,,,2,213,3,,
,1908,,2,6,,,,1367,,SW. SUMATRA,-2,100,130,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
,1908,,3,23,12,20,,1369,,INDONESIA:  TIMOR,-10,129,,6.6,,,,,,,,,1,,,,,,,,,,,,1,,,,
,1908,,5,5,6,16,,,,INDONESIA:  CELEBES SEA,3,123,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
,1909,,6,3,18,40,48,1376,,"INDONESIA:  SW SUMATRA:  KERINTJI, REDJANGLEBONG",-2,101,40,7.6,,,3,,,,,,3,,3,,3,,3,,,,,,3,,3,,
,1910,,12,16,14,45,,,,INDONESIA:  TALAUD ISLANDS,4.5,126,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,,12,18,2,42,,1390,,INDONESIA:  SULAWESI-N. MOLUCCAS ISLANDS,4,127,,6.7,8,,,,,,,,1,,,,1,,,,,,,,1,,,,1
,1913,,3,14,8,45,4.3,1407,585,INDONESIA:  SANGIHE ISLAND,5.354,126.121,15,7.8,9,138,3,,,,2,,2,,3,,,138,3,,,,2,,2,,3,,
,1914,,5,26,14,22,47.7,1416,,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  JAPEN,-1.829,136.943,15,8.1,9,,3,,,,,,2,,3,,,,3,,,,,,2,,3,,
,1914,,6,25,19,7,25.9,1418,,INDONESIA:  SUMATERA,-3.924,101.82,35,7.6,,20,1,,,20,1,,1,,1,,,20,1,,,20,1,,1,,1,,
,1915,,5,23,,,,1423,,INDONESIA:  KAIMANA,-3.644,133.695,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1915,,11,6,,,,1430,,INDONESIA:  NW. IRIAN JAYA,-1,136,,6,,,,,,,,,,,,,,,,,,,,,,,,,
,1916,,1,13,6,18,16,,,INDONESIA:  NEW GUINEA:  IRIAN JAYA,-3,136,30,8.1,,,,,,,,,,,,,,,,,,,,,,,,,
,1916,,1,13,8,20,48,,,INDONESIA:  NEW GUINEA:  IRIAN JAYA,-3,135.5,16,8.1,,,,,,,,,,,,,,,,,,,,,,,,,
,1916,,9,11,6,36,30,,,INDONESIA:  JAVA,-9,113,100,7.3,,,,,,,,,3,340,3,,,,,,,,,,3,340,3,,
,1917,,1,20,23,11,34,1439,,INDONESIA:  BALI,-7,116,,6.6,9,1500,4,,,,,,2,,2,,,1500,4,,,,,,2,,2,,
,1917,,8,30,4,7,15,,,INDONESIA:  BANDA SEA,-7.5,128,100,7.8,,,,,,,,,,,,,,,,,,,,,,,,,
,1918,,11,18,18,41,55,,,INDONESIA:  BANDA SEA,-7,129,190,8.1,,,,,,,,,,,,,,,,,,,,,,,,,
,1919,,11,21,,,,1479,,INDONESIA:  IRIAN JAYA REGION,-2.55,140.75,,,8,,,,,,,,1,,1,,,,,,,,,,1,,1,,
,1920,,1,29,,,,1480,,INDONESIA:  N. MOLUCCAS ISLANDS,0.87,122.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1921,,5,14,11,17,45,1489,,"INDONESIA:  SANGKULIRANG,RENDING,KARIORANG,SEKURAN",0.7,117.9,,6.2,8,,,,,,,,2,,1,,1,,,,,,,,2,,1,,1
,1921,,9,11,4,1,38,1490,,INDONESIA:  S OF JAVA,-11,111,,7.5,,,,,,,,,1,,,,,,,,,,,,1,,,,
,1921,,10,10,,,,,,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  SENTANI,-2.3,138.8,,,7,,,,,,,,2,,,,,,,,,,,,2,,,,
,1922,,2,22,,,,1496,,INDONESIA:  BANDA,-3.3,128.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1922,,4,10,,,,1500,,SW. SUMATRA,-1,100.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1922,,7,8,,,,1502,,"LHOKNGA, ACEH",5.5,95.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1923,,5,15,,,,,,INDONESIA:  JAVA:  MAOS,-7.7,109.2,,,9,,,,,,,,2,,,,,,,,,,,,2,,,,
,1923,,10,7,3,29,34,,,INDONESIA:  DJAILOLO GILOLO,-1.75,128.75,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
,1924,,11,12,,,,,,INDONESIA:  JAVA,-7.3,109.8,,,,60,2,,,,,,,,,,,,,,,,,,,,,,
,1924,,12,2,,,,,,INDONESIA:  JAVA:  WONOSOBO,-7.3,109.9,,,9,727,3,,,,,,3,,,,,,,,,,,,,,,,
,1925,,1,8,,,,1549,,INDONESIA:  BANDA SEA,-8,115,,,3,,,,,,,,,,,,,,,,,,,,,,,,
,1926,,6,28,3,23,25,1567,,INDONESIA:  SUMATERA,-0.7,100.6,,5.8,9,,3,,,,3,,2,,,,,,3,,,,3,,2,,,,
,1926,,7,5,,,,,,INDONESIA:  SUMATRA,-0.3,100.4,,,,,3,,,,,,2,,2,,,,3,,,,,,2,,2,,
,1926,,10,26,3,44,41,,,INDONESIA:  NEW GUINEA:  IRIAN JAYA,-3.5,138.5,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,
,1926,,12,13,,,,,,"INDONESIA:  JAVA:  PRUPUK,MARGARSARI,DUBUKTENGAH",-7.1,109,,,9,,,,,,2,,3,,,,,,,,,,2,,3,,,,
,1927,,12,1,4,37,27,1587,,INDONESIA:  SULAWESI:  DONGGALA,-0.7,119.7,,6.3,7,,,,,,,,2,,2,,,50,1,,,50,1,,3,,3,,
,1930,,6,19,13,7,27,1625,,JAVA-S. JAVA SEA,-5.6,105.3,33,6,,,,,,,,,,,,,,,,,,,,,,,,,
,1930,,7,19,15,20,12,1626,,S. JAVA SEA,-9.3,114.3,100,6.5,,,,,,,,,,,,,,,,,,,,,,,,,
,1930,,9,11,,,,1629,,INDONESIA:  AMURANG ISLAND,1.2,124.57,,,4,,,,,,,,,,,,,,,,,,,,,,,,
,1931,,9,25,5,59,44,1644,,SW. SUMATRA,-5,102.75,,7.4,8,,,,,,,,1,,,,,,,,,,,,1,,,,
,1932,,5,14,13,11,0,,,"INDONESIA:  SULAWESI:  KAKAS,LANGOWAN,POSO,TONDANO",0.5,126,,7.4,7,6,1,,,115,2,,3,592,3,,,6,1,,,115,2,,3,592,3,,
,1932,,9,9,13,38,52,1653,,"INDONESIA:  AMBON ISLAND, CERAM ISLAND",-3.57,128.35,17,,7,,,,,,,,3,73,2,,3,,,,,,,,2,73,2,,3
,1933,,6,24,21,54,48.8,,,INDONESIA:  S SUMATERA,-5.151,104.528,20,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
,1933,,6,25,5,43,22,,,INDONESIA:  S SUMATERA,-5.007,104.501,20,5.8,9,,1,,,,,,2,,,,,,1,,,,,,2,,,,
,1935,,11,25,10,3,3,1688,,INDONESIA:  CELEBES SEA,5.5,94,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,
,1935,,12,28,2,35,22,1689,,"INDONESIA:  N SUMATERA:  BATU I,PADANG,SIBOLGA",0,98.25,33,7.9,8,,,,,,1,,2,,2,,,,,,,,1,,2,,2,,
,1936,,4,1,2,9,15,1690,,INDONESIA:  TALAUD ISLANDS,4.5,126.5,60,7.7,9,,,,,3,1,,2,169,3,,,,,,,3,1,,2,169,3,,
,1936,,8,23,21,12,13,1692,,"INDONESIA:  BANDA ACEH,LHOK SUKON,LHOKSEMAWE",6.1,94.7,,7.3,8,9,1,,,20,1,,2,,,,,9,1,,,20,1,,2,,,,
,1936,,9,9,,,,,,"INDONESIA:  N SUMATERA:  TAPANULI, KARO",3.5,97.5,,,8,17,1,,,,,,2,,,,,17,1,,,,,,2,,,,
,1937,,9,27,8,55,10,,,"INDONESIA:  JAVA:  JOGYAKARTA:  KLUMPIT,PRAMBANAN",-9.4,110.2,70,7.2,9,1,1,,,,,,3,326,3,2200,4,1,1,,,,,,3,326,3,2200,4
,1937,,11,6,,,,1703,,INDONESIA:  NEW GUINEA:  FAKFAK,-3,132.3,33,,,,,,,,,,,,,,,,,,,,,,,,,,
,1938,,2,1,19,4,27.9,1704,,INDONESIA:  NEW GUINEA,-5.041,131.579,60,8.5,,,,,,,,,,,,,,,,,,,,,2,24,1,8,1
,1938,,2,13,,,,1705,,INDONESIA:  NEW GUINEA:  FAKFAK,-3,132.3,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
,1938,,5,19,17,8,21,1710,,INDONESIA:  SULAWESI ISLAND,-1,120,,7.6,9,,,,,,,,3,942,3,184,3,17,1,,,,,,3,942,3,184,3
,1939,,12,21,21,0,40,1738,,"INDONESIA:  CENTRTAL SULAWESI:  KALO,LUWUK,SULA I",0,123,150,8,,,,,,,,,2,,3,,,,,,,,,,2,,3,,
,1942,,5,28,1,1,48,,,INDONESIA:  MINAHASSA PENINSULA,0,124,120,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
