Search Parameters,Year,populationratio,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
"[""Country = Indonesia""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,46.738,12,1,14,1,47.5,,,INDONESIA:  SUMABAWA:  BIMA,-8.251,118.777,43,6.3,,1,1,,,14,1,,1,20,1,,,1,1,,,14,1,,1,20,1,,
,2006,46.738,12,17,21,39,17.4,,,"INDONESIA:  SUMATERA:  NORTHERN, MUARASIPONGI",0.626,99.859,30,5.8,,7,1,,,100,2,,3,680,3,,,7,1,,,100,2,,3,680,2,,
,2007,47.535,1,21,11,27,45,,,INDONESIA:  MOLUCCA ISLANDS:  N,1.065,126.282,22,7.5,,4,1,,,4,1,,1,,,,,4,1,,,4,1,,1,,,,
,2007,47.535,3,6,3,49,38.9,,,INDONESIA:  SUMATRA:  SOUTHERN,-0.493,100.498,19,6.4,8,67,2,,,826,3,,3,43719,4,,4,67,2,,,826,3,,3,43719,4,,4
,2007,47.535,5,29,9,36,5.6,,,INDONESIA: LABUHA,-1.065,127.343,24,6.1,,,,,,,,,1,,2,,,,,,,,,,1,,2,,
,2007,47.535,7,26,5,40,16.1,,,INDONESIA:  MALUKU:  N,2.872,127.464,25,6.9,,,,,,,2,,1,,1,,,,,,,,2,,1,,1,,
,2007,47.535,8,8,17,4,58,,,INDONESIA:  JAVA,-5.968,107.655,289,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,47.535,9,9,18,36,37.6,,,INDONESIA:  SITUBONDO,-7.783,114.338,35,4.8,,,,,,13,1,,1,,,,,,,,,13,1,,1,,,,
,2007,47.535,9,12,11,10,26.8,3228,,INDONESIA:  SUMATRA,-4.438,101.367,34,8.4,,25,1,,,161,3,,3,56425,4,,4,25,1,,,161,3,,3,56425,4,,4
,2007,47.535,9,12,23,49,3.7,,,INDONESIA:  SUMATRA,-2.625,100.841,35,7.9,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,47.535,11,25,16,2,17.9,,,INDONESIA:  SUMBAWA ISLAND,-8.277,118.339,35,6.5,,3,1,,,,3,,2,,3,,,3,1,,,,3,,2,,3,,
,2008,48.335,1,7,3,12,26.8,,,"INDONESIA: NEW GUINEA: MANOKWARI,",-0.795,134.012,12,5.9,,,,,,6,1,,1,,,22,1,,,,,6,1,,1,,,22,1
,2008,48.335,1,22,17,14,57.9,,,INDONESIA:  SUMATRA:  NIAS ISLAND:  GUNUNGSITOLI,1.011,97.442,20,6.1,,1,1,,,5,1,,1,,,,,1,1,,,5,1,,1,,,,2
,2008,48.335,2,20,8,8,30.5,,,INDONESIA:  SUMATERA:  ACEH PROVINCE,2.768,95.964,26,7.4,,3,1,,,25,1,,,,,,,3,1,,,25,1,,,,,,
,2008,48.335,2,25,8,36,33,3382,,INDONESIA:  SUMATRA:  PADANG,-2.486,99.972,25,6.5,,,,,,,,,1,,,,2,,,,,,,,1,,,,2
,2008,48.335,9,9,3,7,27.5,,,INDONESIA:  SUMATRA:  SOUTHERN,-3.935,103.058,25,5.4,,2,1,,,,,,2,,,,,2,1,,,,,,2,,,113,3
,2008,48.335,11,16,17,2,32.7,3623,,INDONESIA:  MINAHASSA PENINSULA,1.271,122.091,30,7.3,,6,1,,,77,2,,3,,,1000,3,6,1,,,77,2,,3,,,1000,3
,2009,49.134,1,3,19,43,50.6,3647,,PAPUA NEW GUINEA:  NEAR NORTH COAST,-0.414,132.885,17,7.6,,5,1,,,250,3,,3,,,840,3,5,1,,,250,3,,3,,,840,3
,2009,49.134,1,3,22,33,40.2,3649,,PAPUA NEW GUINEA:  NEAR NORTH COAST,-0.691,133.305,23,7.3,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,49.134,2,11,17,34,50.8,3692,,INDONESIA:  KEPULAUAN TALAUD,3.884,126.397,22,7.2,,,,,,64,2,,2,,,597,3,,,,,64,2,,2,,,597,3
,2009,49.134,8,16,7,38,21.7,4482,,INDONESIA:  SUMATRA:  PADANG,-1.479,99.49,20,6.7,,,,,,9,1,,,,,,,,,,,9,1,,,,,,
,2009,49.134,9,2,7,55,1,5734,,INDONESIA:  JAVA,-7.782,107.297,46,7,,81,2,,,1297,4,,3,,,54000,4,81,2,,,1297,4,,3,,,54000,4
,2009,49.134,9,18,23,6,57.7,,,INDONESIA:  BALI:  DENPASAR,-9.138,115.593,79,5.7,,,,,,7,1,,1,,,,2,,,,,7,1,,1,,,,2
,2009,49.134,9,30,10,16,9.2,4441,,INDONESIA:  SUMATRA:  PADANG,-0.72,99.867,81,7.5,,1117,4,,,1214,4,2200,4,,3,181665,4,1117,4,,,1214,4,2200,4,,3,181665,4
,2009,49.134,10,1,1,52,27.3,,,INDONESIA:  SUMATRA:  SOUTHERN:  KERINCI,-2.515,101.501,10,6.6,,3,1,,,,,10,3,,3,,3,3,1,,,,,10,3,,3,,
,2009,49.134,11,8,19,41,43.3,,,INDONESIA:  SUMABAWA:  BIMA,-8.207,118.631,18,6.6,,2,1,,,200,3,2.43,2,,,,,2,1,,,200,3,2.43,2,,,,2
,2010,49.914,1,10,0,25,4.2,,,INDONESIA:  JAVA:  GARUT,-7.907,107.879,65,5.1,,1,1,,,2,1,,,,,,,1,1,,,2,1,,,,,,
,2010,49.914,4,6,22,15,1.5,4763,,INDONESIA:  SUMATRA,2.383,97.048,31,7.8,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,49.914,5,9,5,59,41.6,,,INDONESIA:  N. SUMATRA: SIMEULUE ISLAND,3.748,96.018,38,7.2,,,,,,,,,1,,,,,,,,,,,,1,,,,
,2010,49.914,6,16,3,16,27.5,,,INDONESIA: NEW GUINEA:  IRIAN JAYA: JAPEN,-2.174,136.543,18,7,6,17,1,,,,,,3,2556,4,,,17,1,,,,,,3,2556,4,,
,2010,49.914,10,25,14,42,22,5342,,INDONESIA:  SUMATRA,-3.487,100.082,20,7.8,,,,,,,,,,,,,,431,3,,,,,39,4,700,3,,
,2011,50.595,4,24,23,7,51.4,,,INDONESIA:   SULAWESI:  KENDARI,-4.586,122.771,8,6.1,,,,,,14,1,,2,,2,,,,,,,14,1,,2,,2,,
,2011,50.595,9,5,17,55,11.2,,,INDONESIA:  SUMATRA,2.965,97.893,91,6.7,,10,1,,,,,,1,,,,2,10,1,,,,,,1,,,,2
,2012,51.276,4,11,8,38,36.7,5449,,INDONESIA:  N SUMATRA:  OFF WEST COAST,2.327,93.063,20,8.6,,10,1,,,12,1,,1,,,,2,10,1,,,12,1,,1,,,,2
,2012,51.276,4,11,10,43,10.8,5450,,INDONESIA:  N SUMATRA:  OFF WEST COAST,0.802,92.463,25,8.2,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,51.276,6,4,11,18,13.4,,,INDONESIA:  JAVA,-7.692,106.371,50,5.8,,,,,,2,1,,1,,,23,1,,,,,2,1,,1,,,23,1
,2012,51.276,7,25,0,27,45.2,,,INDONESIA: BANDA ACEH,2.707,96.045,22,6.5,,1,1,,,,,,1,,,20,1,1,1,,,,,,1,,,20,1
,2012,51.276,8,18,9,41,52.4,,,"INDONESIA:  SULAWESI:  SIGI, PARIGI MOUNTONG",-1.315,120.096,10,6.3,,6,1,,,43,1,,4,471,3,1097,4,6,1,,,43,1,,4,471,3,1097,4
,2013,51.955,1,21,22,22,52.7,,,INDONESIA:  SUMATERA:  N,4.927,95.907,12,6.1,,1,1,,,15,1,,1,,,71,2,1,1,,,15,1,,1,,,71,2
,2013,51.955,6,22,5,42,39.8,,,INDONESIA:  LOMBOK ISLAND,-8.305,116.058,47,5.1,,,,,,50,1,,3,5370,3,1700,4,,,,,50,1,,3,5370,4,1700,4
,2013,51.955,7,2,7,37,2.6,,,INDONESIA:  BANDA ACEH,4.645,96.665,13,6.1,,48,1,,,2532,4,113,4,20401,4,,,48,1,,,2532,4,113,4,20401,4,,
,2013,51.955,7,8,2,13,40.6,,,INDONESIA:  JAVA,-8.803,113.002,60,5.7,,,,,,1,1,,1,124,3,,,,,,,1,1,,1,124,3,,
,2013,51.955,10,22,5,40,39.1,,,INDONESIA:  BANDA ACEH,5.103,95.971,10,5.4,5,1,1,,,2,1,,1,,,160,3,1,1,,,2,1,,1,,,160,3
,2014,52.635,1,25,5,14,18.5,,,INDONESIA:  JAVA:  BANYUMAS,-7.986,109.265,66,6.1,6,,,,,,,,1,1,1,,2,,,,,,,,1,1,1,,2
,2014,52.635,11,15,2,32,12,5578,,INDONESIA:  N. MOLUCCAS ISLANDS,1.893,126.522,45,7.1,5,,,,,,,,,,,,,,,,,,,,,,,,
,2015,53.313,7,27,21,42,11,,,INDONESIA:  PAPUA,-2.629,138.528,48,7,5,1,1,,,,,,1,1,1,6,1,1,1,,,,,,1,1,1,6,1
,2015,53.313,9,24,15,53,0,,,INDONESIA:  SORONG,-0.59,131.27,10,6.6,5,,,,,62,2,,2,,,260,3,,,,,62,2,,2,,,260,3
,2015,53.313,11,4,3,44,19,,,INDONESIA:  EAST NUSA TENGGARA:  ALOR,-8.338,124.875,20,6.5,5,,,,,3,1,9,3,,,1468,4,,,,,3,1,9,3,,,1468,4
,2016,53.989,1,16,23,22,4,,,"INDONESIA: MALUKU:  BURU, AMBALAU ISLAND",-3.873,127.229,4,5.6,3,1,1,,,22,1,,1,,,230,3,1,1,,,22,1,,1,,,230,3
,2016,53.989,3,2,12,49,11,5598,,INDONESIA: SUMATRA:,-4.952,94.33,24,7.8,5,,,,,,,,,,,,,,,,,,,,,,,,
,2016,53.989,6,1,22,56,8,,,INDONESIA:  SUMATRA:  PESISIR SELATAN,-2.097,100.665,50,6.6,5,1,1,,,30,1,,2,,,2663,4,1,1,,,30,1,,2,,,2663,4
,2016,53.989,6,7,19,15,33,,,INDONESIA:  MALUKU:  TERNATE ISLAND,1.279,126.371,31,6.3,4,,,,,,,,1,,,,1,,,,,,,,1,,,,1
,2016,53.989,7,31,23,41,28,,,INDONESIA:  SUMBAWA ISLAND:  WEST NUSA TENGGARA,-8.194,117.814,21,5.6,6,,,,,4,1,,2,,,700,3,,,,,4,1,,2,,,700,3
,2016,53.989,12,6,22,3,39,,,INDONESIA:  SUMATRA:  ACEH:  PIDIE JAYA,5.283,96.168,13,6.5,8,104,3,,,857,3,100,4,245,3,18752,4,104,3,,,857,3,100,4,245,3,18752,4
,2017,54.659,3,21,23,10,15,,,INDONESIA:  BALI,-8.492,115.323,112,5.6,,,,,,4,1,,2,,1,,,,,,,4,1,,2,,1,,
,2017,54.659,5,29,14,35,51,,,INDONESIA:  SULAWESI:  POSO,-1.292,120.431,12,6.6,7,,,,,25,1,,2,5,1,348,3,,,,,25,1,,2,5,1,348,3
,2017,54.659,10,31,11,50,37,,,INDONESIA:  MALUKU:  AMBON,-3.745,127.752,6,6.1,5,1,1,,,,,,1,,,14,1,1,1,,,,,,1,,,14,1
,2017,54.659,11,18,16,7,3,,,INDONESIA: NORTH MALUKU: MOROTAI,2.465,128.148,8,5.8,,1,1,,,,,,2,,,294,3,1,1,,,,,,2,,,294,3
,2017,54.659,12,15,16,47,23,,,INDONESIA:  JAVA,-7.492,108.174,90,6.5,7,4,1,,,36,1,,2,,,4825,4,4,1,,,36,1,,2,,,4825,4
,2018,55.325,1,23,6,35,38,,,INDONESIA:  JAVA:  BANTEN,-7.092,105.963,48,5.9,6,1,1,,,11,1,,2,,,2760,4,1,1,,,11,1,,2,,,2760,4
,2018,55.325,4,18,6,29,24,,,INDONESIA:  JAVA:  BANJARNEGARA,-7.248,109.654,10,4.5,2,3,1,,,21,1,,2,,,316,3,3,1,,,21,1,,2,,,316,3
,2018,55.325,6,13,13,6,44,,,"INDONESIA:  MADURA ISLAND, JAVA",-7.001,113.888,10,4.6,,,,,,6,1,,2,,,77,2,,,,,6,1,,2,,,77,2
,2018,55.325,7,21,7,58,0,,,INDONESIA: SUMATRA: SOLOK,-0.969,100.769,10,5.2,,1,1,,,2,1,,2,2,1,,3,1,1,,,2,2,,1,2,1,,3
,2018,55.325,7,28,22,48,14,5778,,INDONESIA:  LOMBOK ISLAND,-8.24,116.508,14,6.4,,17,1,,,355,3,,3,5448,4,,3,17,1,,,355,3,,3,5448,4,,3
,2018,55.325,8,5,11,47,3,5685,,INDONESIA:  LOMBOK ISLAND,-8.258,116.438,34,6.9,,560,3,,,7733,4,509,4,,3,83392,4,560,3,,,7733,4,509,4,,3,83392,4
,2018,55.325,8,9,5,25,38,,,INDONESIA:  LOMBOK ISLAND,-8.307,116.23,15,5.9,,6,1,,,24,1,,2,,,,3,6,1,,,24,1,,2,,,,3
,2018,55.325,8,19,4,11,4,5816,,INDONESIA:  LOMBOK ISLAND,-8.337,116.599,16,6.3,,2,1,,,1,1,,2,,,1705,4,2,1,,,1,1,,2,,,1705,4
,2018,55.325,8,19,14,56,49,,,INDONESIA:  LOMBOK ISLAND,-8.319,116.627,21,6.9,,11,1,,,,1,,2,,,1800,4,11,1,,,,1,,2,,,1800,4
,2018,55.325,9,28,7,0,14,,,INDONESIA:  SULAWESI,-0.401,119.771,4,6.1,,1,1,,,10,1,,1,,1,,1,1,1,,,10,1,,1,,1,,1
,2018,55.325,9,28,10,2,25,5689,,INDONESIA:  SULAWESI,-0.256,119.846,20,7.5,8,4340,4,667,3,10679,4,1500,4,3673,4,39191,4,4340,4,667,3,10679,4,1500,4,3673,4,39191,4
,2018,55.325,10,10,18,44,28,,,"INDONESIA:  MADURA ISLAND, JAVA",-7.453,114.455,9,6,5,4,1,,,36,1,,1,,,433,3,4,1,,,36,1,,1,,,433,3
,2018,55.325,11,14,23,2,24,,,INDONESIA:  SULAWESI:  MAMASA,-2.907,119.392,14,5.5,,7,1,,,,,,2,8,1,,3,7,1,,,,,,2,8,1,,3
,2019,55.985,2,27,23,27,24,,,INDONESIA: SUMATRA: SOLOK,-1.323,101.578,10,5.4,,,,,,48,1,,2,,,343,3,,,,,48,1,,2,,,343,3
,2019,55.985,3,17,7,7,25,,,INDONESIA:  LOMBOK ISLAND,-8.418,116.521,10,5.6,,6,1,,,182,3,,2,843,3,3613,4,6,1,,,182,3,,2,843,3,3613,4
,2019,55.985,4,12,11,40,49,,,INDONESIA:  SULAWESI ISLAND: LUWUK,-1.852,122.553,18,6.8,,1,1,,,,,,,,,,,1,1,,,,,,,,,,
,2019,55.985,7,14,9,10,50,,,INDONESIA:  MOLUCCA ISLANDS:  N,-0.529,128.093,10,7.3,,8,1,,,134,3,,2,1176,4,1158,4,8,1,,,134,3,,2,1176,4,1158,4
,2019,55.985,8,2,12,3,27,5870,,INDONESIA:  JAVA:  BANTEN,-7.282,104.791,49,6.9,,8,1,,,8,1,,2,13,1,458,3,8,1,,,8,1,,2,13,1,458,3
,2019,55.985,9,25,23,46,44,,,INDONESIA:  MALUKU:  AMBON,-3.45,128.347,18,6.5,,31,1,,,179,3,,3,,1,2675,2,31,1,,,179,3,,3,,1,2675,4
,2019,55.985,10,10,4,39,48,,,INDONESIA:  PASSO,-3.65,128.216,54,5,7,1,1,,,2,1,,2,,,,1,1,1,,,2,1,,2,,,,1
,2019,55.985,11,12,10,10,44,,,INDONESIA:  MALUKU:  AMBON,-3.61,128.299,50,5,,2,1,,,3,1,,1,,1,,,2,1,,,3,1,,1,,1,,
,2019,55.985,11,14,16,17,40,5733,,INDONESIA:  MOLUCCA ISLANDS:  N,1.6,126.416,33,7.1,,1,1,,,3,1,,1,,,36,1,1,1,,,3,1,,1,,,36,1
,2020,56.641,3,10,10,18,6,,,"INDONESIA:  JAVA:  SUKABUMI, BOGOR",-6.808,106.676,23,5,8,,,,,4,1,,2,,,1137,4,,,,,4,1,,2,,,1137,4
,2020,56.641,5,29,5,30,,5748,7504,INDONESIA:  JAVA:  IJEN,-8.058,114.242,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
,2020,56.641,6,4,8,49,39,,,INDONESIA: NORTH MALUKU: MOROTAI,2.923,128.248,107,6.4,4,,,,,,,,2,14,1,298,3,,,,,,,,2,14,1,298,3
,2021,57.29,1,14,18,28,18,,,"INDONESIA:  SULAWESI:  MAMUJU, MAJENE",-2.976,118.901,18,6.2,9,105,3,3,1,6489,4,58.7,4,1150,4,7863,4,105,3,3,1,6489,4,58.7,4,1150,4,7863,4
,2021,57.29,4,10,7,0,17,,,"INDONESIA: JAVA: LUMAJANG, MALANG",-8.562,112.519,82,6,5,10,1,,,39,1,,3,85,2,3024,4,10,1,,,39,1,,3,85,2,3024,4
,2021,57.29,6,16,4,43,7,5788,,INDONESIA: MALUKU,-3.593,129.503,10,5.8,6,,,,,,,,1,,,,1,,,,,,,,1,,,,1
,2021,57.29,8,26,2,14,22,,,INDONESIA: CENTRAL SULAWESI: TOJO UNA-UNA,-0.854,121.523,8,5.5,5,1,1,,,,,,1,,1,,,1,1,,,,,,1,,1,,
,2021,57.29,10,15,20,18,21,,,"INDONESIA:  BALI: KARANGASEM, BANGLI",-8.356,115.458,10,5.1,8,3,1,,,82,2,,3,366,3,524,3,3,1,,,82,2,,3,366,3,524,3
,2021,,12,14,3,20,24,5822,,INDONESIA:  FLORES REGION,-7.603,122.2,18,7.3,9,,,,,1,1,,2,41,1,200,3,,,,,1,1,,2,41,1,200,3
,2022,,1,14,9,5,42,,,"INDONESIA: PANDEGLANG, BANTEN",-6.929,105.251,37,6.6,8,,,,,1975,4,,3,395,3,2683,4,,,,,1975,4,,3,395,3,2683,4
,2022,,2,25,1,39,27,,,"INDONESIA: W SUMATRA: PASAMAN, WEST PASAMAN",0.233,100.106,12,6.2,9,27,1,,,457,3,,3,103,3,4800,4,27,1,,,457,3,,3,103,3,4800,4
,2022,,9,30,19,28,40,,,INDONESIA:  SUMATRA,2.109,98.928,21,5.9,7,1,1,,,,1,,2,,,,,1,1,,,,1,,2,,,,
,2022,,11,21,6,21,10,,,INDONESIA: W JAVA: CIANJUR,-6.853,107.095,10,5.6,8,635,3,5,1,,,,4,13633,4,42645,4,635,3,5,1,,,,4,13633,4,42645,4
,2023,,1,9,17,47,35,5871,,INDONESIA:  BANDA SEA,-7.049,130.038,105,7.6,5,,,,,,,,2,37,1,327,3,,,,,,,,2,37,1,327,3
,2023,,2,9,6,28,0,,,INDONESIA: NEW GUINEA: IRIAN JAYA: JAYAPURA,-2.635,140.557,22,5.1,8,4,1,,,,,,1,15,1,28,1,4,1,,,,,,1,15,1,28,1
